slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_116,4161,8160,250,35587,0.2,2541,-0.51,-3.2,-2.22,750,90,832,1632,3328,1632,832,6528,3328,6528,-211.624,-17.328,-108.672,-75.344,211.624,17.328,108.672,75.344
slab_117,7310,10608,220,30843,0.2,2401,-0.49,-4.64,-2.99,750,0,1462,2121,5848,2121,1462,8486,5848,8486,-402.0,-37.8,-360.0,-231.68,402.0,37.8,360.0,231.68
slab_118,6870,14031,250,34207,0.18,2464,-0.81,-4.96,-3.33,750,90,1374,2806,5496,2806,1374,11224,5496,11224,-582.4,-78.4,-478.4,-320.8,582.4,78.4,478.4,320.8
slab_119,7126,13407,200,29492,0.21,2472,-0.48,-2.07,-1.11,1000,90,1425,2681,5700,2681,1425,10725,5700,10725,-463.42,-45.84,-197.744,-106.08,463.42,45.84,197.745,106.08
slab_120,7058,9355,220,34933,0.2,2499,-0.46,-4.83,-3.21,500,90,1411,1871,5646,1871,1411,7484,5646,7484,-356.34,-30.0,-319.14,-212.316,356.34,30.0,319.14,212.316
slab_121,6163,12085,200,34638,0.18,2421,-0.56,-2.09,-1.36,750,90,1232,2417,4930,2417,1232,9668,4930,9668,-353.816,-41.816,-155.592,-101.296,353.816,41.816,155.593,101.296
slab_122,5113,11259,200,29772,0.2,2595,-0.34,-3.27,-1.85,750,45,1022,2251,4090,2251,1022,9007,4090,9007,-293.18,-19.352,-188.2,-106.624,293.18,19.352,188.2,106.624
slab_123,7088,12448,250,33495,0.18,2533,-0.54,-3.9,-2.43,1000,45,1417,2489,5670,2489,1417,9958,5670,9958,-548.028,-47.496,-344.016,-214.348,548.028,47.496,344.016,214.348
slab_124,4333,14618,200,30970,0.18,2571,-0.61,-2.47,-1.14,1000,45,866,2923,3466,2923,866,11694,3466,11694,-319.484,-38.7,-156.492,-72.284,319.484,38.7,156.492,72.284
slab_125,6178,10334,180,31092,0.22,2572,-0.77,-4.25,-2.26,500,45,1235,2066,4942,2066,1235,8267,4942,8267,-289.892,-49.504,-271.508,-144.232,289.892,49.504,271.508,144.232
slab_126,6608,11022,180,35982,0.21,2585,-0.32,-3.95,-2.12,750,0,1321,2204,5286,2204,1321,8817,5286,8817,-332.4,-23.4,-287.64,-154.2,332.4,23.4,287.64,154.2
slab_127,7611,9674,250,30611,0.21,2409,-0.4,-3.69,-2.12,500,90,1522,1934,6088,1934,1522,7739,6088,7739,-434.88,-29.12,-272.0,-156.3,434.88,29.12,272.0,156.299
slab_128,7103,12745,180,32120,0.21,2592,-0.68,-3.02,-1.33,1000,90,1420,2549,5682,2549,1420,10196,5682,10196,-414.336,-61.588,-273.368,-120.504,414.336,61.588,273.368,120.504
slab_129,4247,14818,200,28462,0.2,2424,-0.53,-1.94,-1.34,500,45,849,2963,3397,2963,849,11854,3397,11854,-299.072,-33.6,-122.4,-84.0,299.073,33.6,122.4,84.0
